person,relation,event
邱少云,所获荣誉,1953年6月1日，追授他“中国人民志愿军一级英雄”称号
邱少云,所获荣誉,1953年6月25日，朝鲜民主主义共和国最高人民议会常务委员会授予“朝鲜民主主义人民共和国英雄”称号
邱少云,所获荣誉,2009年9月14日，他被评为100位新中国成立以来感动中国人物之一
邱少云,所获荣誉,2019年9月25日，入选“最美奋斗者”个人名单
邱少云,英雄评价,1952年12月4日，《人民日报》刊文称之为——伟大的战士邱少云。
邱少云,纪念馆舍,1953年四川省铜梁县建立邱少云烈士纪念馆
邱少云,纪念馆舍,在凤凰山顶树立邱少云烈士纪念碑，朱德为之题词
黄继光,人物生平,1931年1月8日
黄继光,人物生平,四川省中江县人
黄继光,人物生平,中国人民志愿军第15军45师135团2营通讯员
黄继光,人物生平,1931年1月8日，黄继光出生在四川省中江县发财垭村。
黄继光,人物生平,1949年春，中江县解放，黄继光参加了民兵。
黄继光,人物生平,1951年3月，黄继光在村里第一个报名参加中国人民志愿军。
黄继光,人物生平,1951年7月，黄继光作为志愿军第15军第135团2营6连通讯员，进入朝鲜参战
黄继光,人物生平,1952年4月，黄继光随部队到朝鲜五圣山前沿阵地接防
黄继光,人物生平,1952年7月，黄继光加入中国新民主主义青年团（中国共产主义青年团前身）
黄继光,人物生平,1952年10月19日晚，志愿军在上甘岭战役中攻击597.9高地，黄继光负伤后跃起用自己的胸膛堵住敌人地堡机枪眼牺牲
黄继光,所获荣誉,1953年3月30日，中国共产党志愿军第15军委员会在追认他为"模范团员"的同时，追认他为中国共产党党员。
黄继光,所获荣誉,1953年4月8日，中国人民志愿军领导机关为黄继光追记特等功，追授"中国人民志愿军特级英雄"称号
黄继光,所获荣誉,1953年6月25日，朝鲜民主主义人民共和国最高人民委员会授予黄继光“朝鲜民主主义人民共和国英雄”称号
黄继光,所获荣誉,2009/9/10黄继光被评为“100位新中国成立以来感动人物
黄继光,所获荣誉,2018年9月，中央军委政治工作部统一印制黄继光李向群、杨业功、林俊德、张超10位挂像英模画像，并下发至全军连级以上单位。
黄继光,所获荣誉,2019年9月25日授予黄继光“最美奋斗者”荣誉称号
黄继光,纪念活动,1977年，中江县将继光乡附近修建的中型水库命名为“继光水库”
黄继光,纪念活动,1953年1月14日，四川省中江县各界人民3万余人，在公园广场隆举行黄继光烈士追悼大会
黄继光,纪念活动,1953年3月3日至6日，沈阳各界人民2万余人为黄继光烈士举行追悼安葬仪式，立墓于该市志愿军烈士陵园
黄继光,纪念馆,1984年3月，中江县人大决定在县城东郊魁山西麓新建“黄继光纪念馆”
巨晓林,出生日期,1962年
徐振超,出生日期,1950年
胡双钱,出生日期,1960年7月
包起帆,出生日期,1951年2月
王顺友,出生日期,1965年11月
巨晓林,荣誉称号,中华技能大奖获得者
巨晓林,荣誉称号,北京市劳动模范
巨晓林,荣誉称号,全国五一劳动奖章获得者
巨晓林,荣誉称号,全国劳动模范
巨晓林,荣誉称号,全国创先争优优秀共产党员
徐振超,荣誉称号,新时期产业工人的杰出代表之一
徐振超,荣誉称号,全国优秀共产党员
徐振超,荣誉称号,荣获改革先锋称号
徐振超,荣誉称号,最美奋斗者
徐振超,荣誉称号,全国五一劳动奖章
徐振超,荣誉称号,全国道德模范
胡双钱,荣誉称号,航空手艺人
胡双钱,荣誉称号,第五届全国道德模范评选被授予全国敬业奉献模范称号
胡双钱,荣誉称号,全国五一劳动奖章
胡双钱,人物语录,勤奋刻苦为我赢得尊严，技艺精湛让我收获荣誉，我为自己是一名航空技术工人而感到自
胡双钱,人物语录,自身的工作并不是简单的零件加工，而是制造关系到千千万万乘客生命安全的航空产品。
胡双钱,职位,中国商飞上海飞机制造有限公司数控机加车间钳工组组长
包起帆,职位,上海国际港务（集团）股份有限公司原副总裁
包起帆,荣誉称号,荣获改革先锋称号
包起帆,荣誉称号,全国优秀共产党员
包起帆,荣誉称号,全国道德模范等荣誉称号
包起帆,荣誉称号,连续五届被评为全国劳动模范
包起帆,荣誉称号,多次荣获国家发明奖
包起帆,荣誉称号,国家科学技术进步奖
王顺友,职位,木里藏族自治县邮政局原邮递员
王顺友,荣誉称号,《感动中国》2005年十大人物之一
王顺友,荣誉称号,被誉为中国邮政“马班邮路”忠诚信使
王顺友,人物语录,我要继续走好邮路走到走不动为止
王顺友,人物语录,送信就是为党做事，为党做事的人要吃得起苦
焦裕禄,籍贯,山东淄博博山区北崮山村人
焦裕禄,职位,兰考县委书记
焦裕禄,经历,1946年加入了中国共产党
焦裕禄,经历,1950年，被任命为尉氏县大营区委副书记兼区长
焦裕禄,经历,1962年被调到河南省兰考县担任县委书记
焦裕禄,荣誉称号,2019年9月25日，焦裕禄获“最美奋斗者”个人称号
焦裕禄,荣誉称号,100位新中国成立以来感动中国人物
时间线,内容,1994年，北斗一号工程立项
时间线,内容,2000年北斗一号系统建成，向中国提供服务
时间线,内容,2012年北斗二号系统建成，向亚太地区提供服务
时间线,内容,2020年北斗三号系统建成，向全球服务。
北斗技术,过程,攻坚
北斗技术,实验,过程
北斗技术,涵盖,领域
北斗技术,竞争对手,同行
